[2018-12-13 16:46:07,491][Dummy-1:139878226425600][task_id:django.request][base.py:152][WARNING][Not Found: /favicon.ico]
[2018-12-13 16:47:24,210][MainThread:139878234818304][task_id:django.request][base.py:152][WARNING][Not Found: /favicon.ico]
[2018-12-13 16:47:24,681][MainThread:139878392481536][task_id:myapp.views][views.py:17][ERROR][current id === 97]
[2018-12-13 16:47:25,754][MainThread:139878243211008][task_id:django.request][base.py:152][WARNING][Not Found: /assets/js/jquery.min.js]
[2018-12-13 16:47:25,867][MainThread:139878234818304][task_id:django.request][base.py:152][WARNING][Not Found: /assets/js/jquery.scrollex.min.js]
[2018-12-13 16:47:25,890][MainThread:139878234818304][task_id:django.request][base.py:152][WARNING][Not Found: /assets/js/jquery.scrolly.min.js]
[2018-12-13 16:47:25,902][MainThread:139878234818304][task_id:django.request][base.py:152][WARNING][Not Found: /assets/js/skel.min.js]
[2018-12-13 16:47:25,914][MainThread:139878234818304][task_id:django.request][base.py:152][WARNING][Not Found: /assets/js/util.js]
[2018-12-13 16:47:25,962][MainThread:139878234818304][task_id:django.request][base.py:152][WARNING][Not Found: /assets/js/main.js]
[2018-12-13 16:47:27,038][MainThread:139878392481536][task_id:django.request][base.py:152][WARNING][Not Found: /assets/js/jquery.scrollex.min.js]
[2018-12-13 16:47:27,087][MainThread:139878392481536][task_id:django.request][base.py:152][WARNING][Not Found: /assets/js/jquery.scrolly.min.js]
[2018-12-13 16:47:27,105][MainThread:139878392481536][task_id:django.request][base.py:152][WARNING][Not Found: /assets/js/skel.min.js]
[2018-12-13 16:47:27,117][MainThread:139878392481536][task_id:django.request][base.py:152][WARNING][Not Found: /assets/js/util.js]
[2018-12-13 16:47:27,128][MainThread:139878392481536][task_id:django.request][base.py:152][WARNING][Not Found: /assets/js/main.js]
[2018-12-13 16:48:25,607][MainThread:139878392481536][task_id:django.request][base.py:152][WARNING][Not Found: /favicon.ico]
[2018-12-13 16:48:27,044][MainThread:139878392481536][task_id:myapp.views][views.py:17][ERROR][current id === 97]
[2018-12-13 16:48:27,844][MainThread:139878392481536][task_id:django.request][base.py:152][WARNING][Not Found: /assets/js/jquery.min.js]
[2018-12-13 16:48:27,888][MainThread:139878392481536][task_id:django.request][base.py:152][WARNING][Not Found: /assets/js/jquery.scrollex.min.js]
[2018-12-13 16:48:27,910][MainThread:139878392481536][task_id:django.request][base.py:152][WARNING][Not Found: /assets/js/skel.min.js]
[2018-12-13 16:48:27,912][Dummy-1:139878384088832][task_id:django.request][base.py:152][WARNING][Not Found: /assets/js/main.js]
[2018-12-13 16:48:27,914][Dummy-2:139878375696128][task_id:django.request][base.py:152][WARNING][Not Found: /assets/js/jquery.scrolly.min.js]
[2018-12-13 16:48:27,916][Dummy-3:139878125713152][task_id:django.request][base.py:152][WARNING][Not Found: /assets/js/util.js]
[2018-12-13 16:48:27,924][Dummy-1:139878384088832][task_id:django.request][base.py:152][WARNING][Not Found: /assets/js/jquery.min.js]
[2018-12-13 16:48:27,994][Dummy-1:139878384088832][task_id:django.request][base.py:152][WARNING][Not Found: /assets/js/jquery.scrollex.min.js]
[2018-12-13 16:48:28,012][Dummy-1:139878384088832][task_id:django.request][base.py:152][WARNING][Not Found: /assets/js/jquery.scrolly.min.js]
[2018-12-13 16:48:28,038][Dummy-1:139878384088832][task_id:django.request][base.py:152][WARNING][Not Found: /assets/js/skel.min.js]
[2018-12-13 16:48:28,064][Dummy-1:139878384088832][task_id:django.request][base.py:152][WARNING][Not Found: /assets/js/util.js]
[2018-12-13 16:48:28,078][Dummy-1:139878384088832][task_id:django.request][base.py:152][WARNING][Not Found: /assets/js/main.js]
[2018-12-13 17:06:30,596][Dummy-2:139878375696128][task_id:myapp.views][views.py:17][ERROR][current id === 97]
